Criterion,Intent
White blood cell (WBC) >= 2000/mm^3.,blood-count
white blood cell (WBC) >= 2000/uL,blood-count
White blood cell (WBC) >= 2000/uL (within 2 weeks prior to randomization),blood-count
White blood cell (WBC) >= 2000/uL (within 30 days before study registration),blood-count
White blood cell (WBC) >= 3 K/mm^3,blood-count
White blood cell (WBC) >= 3 x 10^9/L.,blood-count
"White blood cell (WBC) >= 3,000 K/mm3",blood-count
"White blood cell (WBC) >= 3,000/mcL",blood-count
White blood cell (WBC) >= 3000/mm^3,blood-count
White blood cell (WBC) >= 50 x 10^3/µL,blood-count
"white blood cell (WBC) count ( >= 2,000/uL)",blood-count
"White blood cell (WBC) count < 3,500 cells/mm3",blood-count
"White blood cell (WBC) count < 30,000 /mcL",blood-count
White blood cell (WBC) count <= 20 x 10E3/µL,blood-count
"White blood cell (WBC) count > 3,000/µL",blood-count
"White blood cell (WBC) count >= 2500/ul, obtained within 14 days prior to initiation of study treatment",blood-count
White blood cell (WBC) count >= 3 x 10^9/L.,blood-count
"White blood cell (WBC) count >= 3,000/mm3 within 3 weeks prior to registration",blood-count
"White blood cell (WBC) count >= 3,000/mm3 within 3 weeks prior to registration.",blood-count
White blood cell (WBC) count >= 3000 cells/mm^3,blood-count
White blood cell (WBC) count >= 3000 cells/mm3,blood-count
"White blood cell (WBC) count 3,000/mL",blood-count
White blood cell (WBC) count no greater than 25x10^9/L at time of start of study drug (venetoclax or gilteritinib). Note: Hydroxyurea is permitted from screening through completion of Cycle 1 in order to meet this criterion.,blood-count
White blood cell (WBC) count of > 3000/ul,blood-count
White blood cell (WBC) counts > 2500/microL,blood-count
"White blood cell (WBC) counts > 2500/uL (obtained within 14 days prior to the first study treatment [PD window, day 1])",blood-count
White blood cell (WBC) counts > 2500/uL.,blood-count
"White blood cell >= 2,000 /mm3",blood-count
"White blood cell count (WBC) < 2,000/µL",blood-count
White blood cell count (WBC) > 2.5 k/mm3,blood-count
White blood cell count (WBC) > 3 x 10^9/L,blood-count
"White blood cell count (WBC) >= 3,000/mcL (within 28 days prior to administration of study treatment)",blood-count
"White Blood Cell Count (WBC) >= 3,000/mm3",blood-count
"White blood cell count (WBC) >= 3,000/ul",blood-count
"White blood cell count (WBC) >= 3,500/ul",blood-count
White blood cell count (WBC) >= 3.0x10^9/L,blood-count
"White blood cell count (WBC) >= 4,000/mm��??",blood-count
White Blood Cell Count (WBC) Criteria,blood-count
White blood cell count >= 2500/mm^3 ( >= 2.5 GI/L),blood-count
White blood cell count >= 2500/mm3 ( >= 2.5 GI/L).,blood-count
White blood cell counts (WBC) > 2500/uL,blood-count
"White blood cells (WBC) > 15,000 cells/mcL (15 cells x 10^9/L) at screening",blood-count
"White blood cells (WBC) > 15,000 cells/mcL at screening",blood-count
White blood cells (WBC) > 3 x 10^9/L (within 28 days prior to administration of study treatment),blood-count
"White blood cells (WBC) > 3x10^9/L (unless due to bone marrow infiltration by tumor, in which case WBC > 2x10^9/L is allowed)",blood-count
White blood cells (WBC) >= 2.0 X 10^9/L (within 28 days of first study treatment),blood-count
White blood cells (WBC) >= 2000 /uL (within one week prior to registration),blood-count
White blood cells (WBC) >= 2000/mm^3,blood-count
White blood cells (WBC) >= 2000/uL,blood-count
"white blood cells (WBC) >= 3,000/μL",blood-count
"White blood cells (WBC) >= 3,000/ul",blood-count
White Blood Cells (WBC) >= 3.0x10^9/L,blood-count
White blood cells (WBC) >= 3000/mm^3,blood-count
"White blood cells (WBC) greater than 15,000 cells/mcL (15 cells x 10^9/L) at screening (hydroxyurea is permitted to enable eligibility).",blood-count
White blood cells (WBCs) >= 2000/μL,blood-count
White blood cells >= 3000 cells/μL,blood-count
White blood count (WBC) > 100 x 10^9/L,blood-count
White blood count (WBC) >= 2000 /mcL,blood-count
White blood count (WBC) >= 2000/uL,blood-count
"Within 2 weeks prior to initiation of study treatment: Leukocytes >= 3,000/mcL",blood-count
"Within 90 days before enrollment: Leukocytes: >= 3,000/mm^3",blood-count
A body mass index (BMI) >= 25,bmi
"Are centrally obese with the following criteria (determined by study team at eligibility screening): body mass index (BMI) > 30 kg/m^2 (calculated using height and weight) or body fat > 30% (estimated by bioelectrical impedance), and waist circumference > 35 inches (in)",bmi
Are morbidly obese with body mass index (BMI) > 40,bmi
BMI (Body Mass Index) less than 30,bmi
BMI < 16 (malnutrition),bmi
BMI < 18 or > 45 kg/m2(16),bmi
BMI < 25 kg/m^2,bmi
BMI <= 29.9 kg/m^2,bmi
BMI > 22 and <= 35.,bmi
BMI > 24 kg/m2,bmi
BMI > 25 kg/m2,bmi
BMI > 30.,bmi
BMI > 40,bmi
BMI > 40 kg/m2,bmi
BMI >= 18.5,bmi
BMI >= 19,bmi
BMI >= 24 kg/m2,bmi
BMI >= 25 kg/m^2,bmi
BMI >= 25 kg/m2,bmi
BMI 18 to 32 kg/m2.,bmi
BMI 20-35 kg/m2,bmi
BMI between 18 and 40 kg/m2,bmi
BMI between 25.0 to < 40 kg/m2 (allows for use of assessments such as DXA to be included),bmi
Body mass index (BMI) < 25,bmi
Body mass index (BMI) > 20,bmi
Body mass index (BMI) > 25.0 (overweight and obese),bmi
Body mass index (BMI) >= 18.5,bmi
Body mass index (BMI) >= 35 mg/m^2 <= 56 days prior to registration,bmi
Body mass index (BMI) greater than or equal to 30.0.,bmi
Body Mass Index (BMI) less than 32,bmi
Body mass index (BMI) of 25 or higher,bmi
Has a BMI (Body Mass Index) of 30 or higher,bmi
Malnutrition defined as BMI < 16.,bmi
morbid obesity,bmi
morbid obesity (BMI > 40),bmi
Morbidly obese as defined by a body mass index (BMI) >= 40.,bmi
Obese (defined as BMI 30 - < 50 kg/m2),bmi
Obesity > BMI 30 or any physical or neurological disability that would preclude patients from participating in physical therapy,bmi
Obesity that limits obtainment of acceptable images,bmi
Overweight or obese ( > 25 kg/m^2),bmi
Patient BMI greater than or equal to 21,bmi
Patient BMI less than 21,bmi
"Patients for whom a PET/MRI is technically not feasible (e.g. breast volume, obesity, > body mass index (BMI) 36)",bmi
Patients must have BMI >= 30.,bmi
Patients who may not fit on a 35 x 35 detector (BMI > 35),bmi
Patients with BMI > 35,bmi
Patients with body mass index (BMI) greater than 40.0.,bmi
Subjects have a BMI greater than 18.,bmi
Subjects have a BMI greater than 22.,bmi
The patients has a body mass index (BMI) > 40,bmi
Body weight < 40 kg,body-weight
Body weight > 30 kg,body-weight
Body weight > 30 kg at screening,body-weight
Body weight > 30kg,body-weight
Body weight >= 35 kg.,body-weight
Body weight >= 40 kg,body-weight
Body WT > 30 kg,body-weight
Girth and weight must be suitable to enter the gantry,body-weight
Patients greater than or equal to 12 and less than 18 years of age should weigh at least 40 kilograms (kg); there is no weight requirement for adult subjects.,body-weight
Patients with a weight of < 39 kg,body-weight
The kilogram weight is the patient's actual body weight with an upper limit of 140% of the IBW.,body-weight
there is no weight requirement for adult subjects,body-weight
Weight < 45 kg,body-weight
Weight < 70kg for cord blood transplantation,body-weight
Weight over 40 kg,body-weight
Weight over 40 kilograms (kg),body-weight
Breast conserving surgery and indications for whole breast radiotherapy.,breast-conserving-surgery
Patient desires breast conserving therapy.,breast-conserving-surgery
Patients must be undergoing breast conserving therapy,breast-conserving-surgery
Patients must have been treated by Breast Conserving Surgery (BCS) or mastectomy.,breast-conserving-surgery
"Patients treated by Breast Conserving Surgery and SLNB alone must have only 1-2 positive axillary nodes (macrometastases, > 2 mm)*.",breast-conserving-surgery
"Patients treated by Breast Conserving Surgery or mastectomy and axillary dissection must have 1-3 positive axillary nodes (macrometastases, > 2 mm).",breast-conserving-surgery
Planned breast surgery and indications for whole breast radiotherapy.,breast-conserving-surgery
"All patients must have undergone modified radical mastectomy (with negative margins on ink) with pathologic nodal evaluation (from level I and II axillary lymph node dissection) at least 3 weeks and no more than 12 weeks prior to randomization, unless they receive additional chemotherapy after mastectomy (see Section 5.2c). Patients must not have gross residual tumor or positive microscopic margins after mastectomy.",breast-surgery
All tumor removed by either a modified radical mastectomy or a segmental mastectomy (lumpectomy).,breast-surgery
All women who undergo breast conserving therapy must receive concomitant radiotherapy. Radiation after mastectomy is to be administered according to prespecified institutional guidelines. Radiation must be completed at least 21 days prior to registration.,breast-surgery
"For patients who have undergone lumpectomy, any type of mastectomy and any type of reconstruction (including no reconstruction) are allowed.",breast-surgery
"For patients who have undergone lumpectomy, there are no breast size limitations.",breast-surgery
"For patients who undergo lumpectomy, the margins of the resected specimen or re-excision must be histologically free of invasive tumor and DCIS as determined by the local pathologist. Additional operative procedures may be performed to obtain clear margins. If tumor is still present at the resected margin after re-excision(s), the patient must undergo total mastectomy to be eligible. (Patients with margins positive for LCIS are eligible without additional resection.)",breast-surgery
"For patients who undergo mastectomy, the margins must be histologically free of residual (microscopic or gross) tumor.",breast-surgery
History of mastectomy or implants,breast-surgery
Lumpectomy performed prior to study entry,breast-surgery
Negative inked histologic margins from mastectomy pathology (no invasive cells at margin).,breast-surgery
"No significant post mastectomy complications in the ipsilateral or contralateral breast requiring an unplanned re-operation or admission for IV antibiotics. Re-operation for margins evaluation, nodal completion and routine reconstruction is acceptable.",breast-surgery
Patient must have undergone immediate reconstruction at the time of mastectomy or be planning to undergo reconstruction within 18 months after radiation.,breast-surgery
Patient who have undergone either a total mastectomy or a lumpectomy are eligible. (Patients who have had a nipple-sparing mastectomy are eligible.),breast-surgery
Patients must have been treated by BCS or mastectomy.,breast-surgery
"Patients treated by BCS or mastectomy and axillary dissection must have 1-3 positive axillary nodes (macrometastases, > 2 mm).",breast-surgery
"Patients treated by mastectomy and SLNB alone must have only 1 positive axillary node (macrometastases, > 2 mm).",breast-surgery
Planned breast procedure other than mastectomy,breast-surgery
Planned mastectomy,breast-surgery
Post-mastectomy with or without reconstruction,breast-surgery
"Surgical margins must be clear of invasive carcinoma. If there is microscopic residual ductal in situ disease present at lumpectomy or total mastectomy margins, further excision is highly recommended. If further excision is not undertaken, the subject may still be entered on study, provided that in addition to breast or chest wall irradiation, a boost to the tumor bed is delivered. In situ lobular disease at the margin is acceptable.",breast-surgery
The definition of control is definitive surgery by excision or mastectomy (+/- radiotherapy) per institution preference,breast-surgery
The maximum time requirement between surgery and randomization must be:,breast-surgery
"The patient's primary surgical treatment is lumpectomy and a simultaneous SLNB or ALND is planned as part of the patient's therapy; or, the patient's primary surgical treatment is mastectomy and a simultaneous ALND is planned as part of the patient's therapy as part of the same procedure.",breast-surgery
Without a history of mastectomy or implants,breast-surgery
All patients must be surgical candidates for complete hysterectomy and bilateral salpingo-oophorectomy and pelvic and aortic lymphadenectomy.,bso-hysterectomy
All patients must have undergone complete hysterectomy and bilateral salpingo-oophorectomy at the time of original therapy for their uterine carcinoma,bso-hysterectomy
All patients must have undergone hysterectomy. Bilateral salpingooophorectomy is strongly encouraged but not mandatory.,bso-hysterectomy
Candidate for a total hysterectomy with or without bilateral salpingo?oophorectomy,bso-hysterectomy
"Have a hysterectomy and/or bilateral oophorectomy, bilateral salpingectomy or bilateral tubal ligation/occlusion, at least 6 weeks prior to Step 2 registration; OR",bso-hysterectomy
Have had or are scheduled to undergo a hysterectomy and/or salpingo-oophorectomy,bso-hysterectomy
"Histological evidence of newly diagnosed Stage III or IV or recurrent endometrial carcinoma who have had definitive surgery for endometrial cancer (at least hysterectomy and bilateral salpingo-oophorectomy). Pathologic documentation of the recurrence (i.e., biopsy) will be performed per standard of care, at the treating physician's discretion. If a subject with recurrence is undergoing a biopsy for clinical indications and is willing and able, an optional collection of 3 frozen tissue cores of the recurrence site is requested for correlative analysis.",bso-hysterectomy
"If either a bilateral salpingo-oophorectomy or nodal dissection was not performed, post-operative pre-treatment CT/MRI is required and must not demonstrate evidence suggestive of metastatic disease (adnexa, nodes, intraperitoneal disease). Post-operative, pre-treatment CT/MRI must be performed if a pelvic and para-aortic nodal dissection was not performed.",bso-hysterectomy
Is scheduled to undergo preventative salpingo-oophorectomy for high risk of ovarian cancer not earlier than 24 hours and not later than 5 days following the second BR55 CEUS examination,bso-hysterectomy
Is scheduled to undergo salpingo-oophorectomy for suspected ovarian cancer not earlier than 24 hours and not later than 30 days following BR55 administration,bso-hysterectomy
Patients must have undergone a bilateral salpingo-oophorectomy,bso-hysterectomy
"Patients must have undergone surgical staging with at least hysterectomy, removal of cervix, bilateral (if both are present) salpingo-oophorectomy, and either sentinel lymph node assessment or complete pelvic +/- aortic lymphadenectomy. Secondary staging is allowed to determine stage. Patients with isolated tumor cells in sentinel lymph nodes are eligible (considered N0i) as long as there is no evidence of micro- or macro-metastases in any lymph nodes",bso-hysterectomy
Prior bilateral salpingo-oophorectomy.,bso-hysterectomy
Scheduled to undergo a hysterectomy and/or bilateral salpingo-oophorectomy,bso-hysterectomy
Scheduled to undergo a hysterectomy and/or salpingo-oophorectomy,bso-hysterectomy
Scheduled to undergo a hysterectomy or salpingo-oophorectomy,bso-hysterectomy
Surgery consisted of Total Abdominal or Laparoscopic Hysterectomy and Bilateral Salpingo Oophorectomy (TH-BSO) with or without lymph node dissection.,bso-hysterectomy
Surgery must have included a hysterectomy and bilateral salpingooophorectomy. Pelvic lymph node sampling and para-aortic lymph node sampling are optional.,bso-hysterectomy
"(#4, continued): AML patients:",cancertype
"(#4, continued): MDS patients:",cancertype
A confirmed myelodysplastic syndrome (MDS) with:,cancertype
Active hematologic malignancy,cancertype
Acute biphenotypic leukemia,cancertype
Acute biphenotypic leukemia or,cancertype
Acute leukemias:,cancertype
Acute lymphoblastic leukemia,cancertype
Acute lymphoblastic leukemia (ALL),cancertype
Acute lymphocytic leukemia (ALL),cancertype
Acute lymphocytic leukemia:,cancertype
Acute myelogenous leukemia,cancertype
Acute myelogenous leukemia (AML),cancertype
Acute myelogenous leukemia:,cancertype
Acute myeloid leukemia,cancertype
Acute myeloid leukemia (AML),cancertype
Advanced prostate cancer,cancertype
Advanced Renal Cell Carcinoma,cancertype
ALL,cancertype
"All B-ALL patients must have detectable disease by morphology, flow cytometry, cytogenetic analysis (e.g. polymerase chain reaction [PCR], fluorescence in situ hybridization [FISH], karyotyping) or imaging (positron emission tomography [PET]-computed tomography [CT])",cancertype
AML arising after documented MPD is excluded,cancertype
AML favorable or intermediate ELN risk,cancertype
AML patients who are unlikely to demonstrate rapid progression such that they would be unable to complete the first cycle of therapy.,cancertype
AML patients who either have:,cancertype
AML patients:,cancertype
Any advanced malignant hepatic tumor(s),cancertype
"Any detectable ALL (by flow cytometry, cytogenetics, or PCR techniques) as per clinical indication.",cancertype
"Any detectable ALL (by flow cytometry, cytogenetics, or polymerase chain reaction (PCR) techniques) as per clinical indication.",cancertype
Any of the following hematologic malignancies:,cancertype
Any of the following hematological malignancies:,cancertype
Any solid tumors with masses that are accessible,cancertype
Any stage for pancreatic cancer and,cancertype
Arm A: Solid Tumor,cancertype
atypical MDS/myeloproliferative syndromes,cancertype
Basal or squamous cell carcinoma of the skin,cancertype
Biopsy proven prostate cancer,cancertype
Biopsy proven Renal neoplasm,cancertype
Biopsy-proven neuroendocrine tumor.,cancertype
Biopsy-proven prostate cancer.,cancertype
Biopsy-proven small lymphocytic lymphoma or,cancertype
Biphenotypic or bilineal acute leukemia,cancertype
Bladder Cancer,cancertype
"Bone marrow dysplasia, myelodysplasia",cancertype
Breast cancer,cancertype
Breast cancer determined to be:,cancertype
Breast cancer tissue diagnosis,cancertype
Breast cancer:,cancertype
"breast, ovarian, and other solid cancers",cancertype
Burkitt lymphoma,cancertype
Burkitt type leukemia,cancertype
Carcinoma of the lung,cancertype
Cervical cancer,cancertype
Cervical carcinoma,cancertype
Chronic lymphocytic leukemia,cancertype
Chronic lymphocytic leukemia (CLL),cancertype
Chronic myelocytic leukemia (CML):,cancertype
Chronic Myelogenous leukemia,cancertype
Chronic myelogenous leukemia (CML),cancertype
Chronic myeloid leukemia,cancertype
Chronic myeloid leukemia (CML) in any phase,cancertype
Chronic myeloid leukemia (CML):,cancertype
chronic myelomonocytic leukemia,cancertype
Chronic myelomonocytic leukemia (CMML),cancertype
Clinically localized prostate cancer:,cancertype
CLL or SLL diagnosis according to iwCLL criteria,cancertype
CLL-must have either,cancertype
CML in blast crisis,cancertype
CML in refractory blast crisis,cancertype
Cohort 1: HER2 IHC 2+/FISH- breast cancer,cancertype
Cohort 4: HNSCC,cancertype
Cohort A. Acute lymphoblastic leukemia,cancertype
COHORT A: multiple myeloma,cancertype
Colon/rectal carcinoma,cancertype
colorectal cancer,cancertype
Confirmed diagnosis of CMML,cancertype
Criteria for NHL:,cancertype
Current diagnosis of colorectal cancer,cancertype
"Diagnosed with histologically confirmed metastatic solid tumor - cancer of the lung (small cell or non small cell), prostate (adenocarcinoma), colorectum, kidney (renal cell carcinoma), pancreas (adenocarcinoma),or malignant melanoma, metastatic Ewing's sarcoma, or metastatic epithelial neoplasms and adenocarcinoma of unknown primary, and disease confirmed to be metastatic and unresectable for which standard curative or beneficial treatments are no longer effective",cancertype
Diagnosed with prostate cancer,cancertype
Diagnosis Leukemia,cancertype
Diagnosis of acute leukemia,cancertype
Diagnosis of Acute Myeloid Leukemia (AML),cancertype
Diagnosis of AML according to WHO 2008 criteria,cancertype
Diagnosis of AML according to WHO criteria 2016.,cancertype
Diagnosis of AML within the recent 2 months,cancertype
Diagnosis of cervical esophageal carcinoma.,cancertype
Diagnosis of chronic lymphocytic leukemia,cancertype
Diagnosis of colorectal cancer or any cancer,cancertype
Diagnosis of Multiple Myeloma,cancertype
Diagnosis of myelodysplastic syndrome,cancertype
Diagnosis of myelodysplastic syndrome (MDS),cancertype
Diagnosis of myelodysplastic syndrome (MDS).,cancertype
Diagnosis of Myelodysplastic Syndrome.,cancertype
Diagnosis of prostate cancer,cancertype
"Diagnosis of PTCL according to the most recent edition of the World Health Organization (WHO) Classification of Tumors of Hematopoietic or Lymphoid Tissues, as follows:",cancertype
Diagnosis other than multiple myeloma,cancertype
Documented diagnosis of multiple myeloma,cancertype
Dose Escalation: all solid tumor types,cancertype
Endometrial cancer,cancertype
Evaluable MM with at least one of the following:,cancertype
Evidence of extravesical bladder cancer,cancertype
Extramedullary MM,cancertype
FNA alone to diagnose the breast cancer.,cancertype
FOR AML ONLY: No ANC restriction,cancertype
For AML subjects:,cancertype
For AML:,cancertype
For CML patients either:,cancertype
For Colorectal Cancer Participants:,cancertype
For Gastric Cancer Participants:,cancertype
For lymphoma patients:,cancertype
For MDS patients,cancertype
For Ovarian Cancer Participants:,cancertype
For patients with solid tumors:,cancertype
gallbladder cancer,cancertype
gastric cancer,cancertype
gastrointestinal and genitourinary cancers,cancertype
Germ cell or hematologic malignancies.,cancertype
Has breast cancer with lobular histology.,cancertype
Has diagnosis of endometrial cancer,cancertype
"Has histologically or cytologically confirmed, locally advanced, metastatic cancer meeting the following criteria:",cancertype
Have had CRC screening in the previous 12 months,cancertype
Have hematological malignancy,cancertype
Have synchronous primary endometrial cancer,cancertype
Head and neck squamous cell carcinoma,cancertype
Hepatocellular carcinoma,cancertype
Hereditary colorectal cancer syndromes,cancertype
"High risk AML, including any of the following:",cancertype
Histologic evidence of neuroendocrine or small cell carcinoma of the prostate,cancertype
Histologic evidence of small cell carcinoma (morphology alone - immunohistochemical evidence of neuroendocrine differentiation without morphologic evidence is not exclusionary).,cancertype
"Histologic or cytologic confirmation of lung cancer (squamous, adenocarcinoma or small cell lung cancer)",cancertype
Histological confirmation of breast cancer,cancertype
Histological diagnosis of breast adenocarcinoma,cancertype
Histological Diagnosis: Patients must have a histologically documented peritoneal carcinomatosis from either colorectal or appendiceal adenocarcinoma.,cancertype
Histologically confirmed adult acute lymphoblastic leukemia,cancertype
"Histologically confirmed breast cancer, including 1 of the following subtypes:",cancertype
"Histologically confirmed high grade serous or endometrioid ovarian, peritoneal or fallopian tube malignancy that is metastatic and for which curative measures do not exist. The histology can be confirmed from tissue that was taken at the time of diagnosis. A biopsy at the time of recurrence prior to enrollment on study is not required.",cancertype
Histologically confirmed invasive cancer of the breast,cancertype
Histologically confirmed neurotropic primary melanoma,cancertype
Histologically confirmed prostate cancer,cancertype
histologically confirmed prostate cancer.,cancertype
Histologically confirmed prostate cancer. Small cell/neuroendocrine differentiated allowed but not required for study participation.,cancertype
Histologically confirmed renal cell carcinoma,cancertype
Histologically confirmed solid tumor or hematologic malignancy,cancertype
"Histologically confirmed squamous, adenosquamous, or adenocarcinoma of the cervix with any/all of the following high-risk features after surgery:",cancertype
Histologically confirmed urothelial carcinoma of the bladder,cancertype
"Histologically confirmed, locally confined adenocarcinoma of the prostate",cancertype
"Histologically or cytological confirmed diagnosis of metastatic or locally advanced, unresectable pancreatic adenocarcinoma (excluding other pancreatic malignancies for example, acinar cell carcinomas, adenosquamous carcinomas, and neuroendocrine islet cell neoplasms).",cancertype
"Histologically or cytologically confirmed adenocarcinoma of the prostate at initial biopsy, without neuroendocrine differentiation, signet cell, or small cell features",cancertype
Histologically or cytologically confirmed adenocarcinoma of the prostate previously treated with surgery and/or radiotherapy.,cancertype
Histologically or cytologically confirmed adenocarcinoma of the prostate. No evidence of neuroendocrine differentiation or small cell features.,cancertype
Histologically or cytologically confirmed carcinoma of the prostate (excluding neuroendocrine differentiation or squamous cell histology),cancertype
Histologically- or cytologically- confirmed CRC.,cancertype
Histologically or cytologically documented small cell lung cancer (SCLC),cancertype
Histologically proven prostate adenocarcinoma,cancertype
Histologically-confirmed primary uveal melanoma.,cancertype
HNSCC,cancertype
Hodgkin disease:,cancertype
Hodgkin Lymphoma,cancertype
Hodgkin lymphoma (HL),cancertype
Hodgkin lymphomas,cancertype
Hodgkin's disease,cancertype
Hodgkin's Lymphoma,cancertype
Hormone unresponsive breast cancer,cancertype
Imaging showing possible pancreatic cancer,cancertype
Immunophenotyping consistent with CLL defined as:,cancertype
Inflammatory/inoperable breast cancer.,cancertype
"Institutional confirmation of Mullerian epithelial adenocarcinoma on core biopsy (not cytology or fine needle aspiration) or laparoscopic biopsy; (for phase II of the study formalin-fixed paraffin-embedded [FFPE] tissue should be available for laboratory analysis); patients with the following histologic epithelial cell types are eligible: high grade serous carcinoma, high grade endometrioid carcinoma, clear cell carcinoma, or a combination of these",cancertype
Juvenile myelomonocytic leukemia,cancertype
Juvenile myelomonocytic leukemia (JMML),cancertype
Kidney cancer,cancertype
"Known anal, vulvar, cervical, or penile cancer",cancertype
Known bladder cancer,cancertype
Known breast cancer,cancertype
Known CNS lymphoma or leukemia,cancertype
Known FR-negative ovarian cancer,cancertype
Known meningeal involvement of multiple myeloma.,cancertype
Known prostate cancer,cancertype
Leukemia,cancertype
Low-risk prostate cancer after curative surgery,cancertype
Low-risk prostate cancer on active surveillance,cancertype
Lung cancer,cancertype
Lymphoid blast crisis of CML,cancertype
Lymphoma,cancertype
Lymphoma (Hodgkin and non-Hodgkin),cancertype
Lymphomas with leukemic expression.,cancertype
Lymphoplasmocytic lymphoma,cancertype
male patients with breast cancer,cancertype
Males with breast cancer,cancertype
Malignant melanoma (other than in situ),cancertype
malignant mesothelioma,cancertype
Mantle cell lymphoma,cancertype
Mantle cell lymphoma (MCL),cancertype
MDS,cancertype
MDS patients:,cancertype
MDS should be classified as:,cancertype
Medical clearance by their breast cancer surgeon,cancertype
Medullary renal cell carcinoma,cancertype
Mesothelioma,cancertype
Mixed lineage or biphenotypic acute leukemia,cancertype
Morphologically unclassifiable lymphoma.,cancertype
Multiple myeloma,cancertype
Multiple myeloma (MM),cancertype
multiple myeloma as per IMWG 2014 definition,cancertype
Multiple Myeloma criteria:,cancertype
Multiple myeloma meeting the following criteria:,cancertype
Multiple myeloma with IgM subtype,cancertype
Multiple myeloma.,cancertype
Myelodysplasia,cancertype
Myelodysplastic syndrome,cancertype
Myelodysplastic syndrome (MDS),cancertype
"Myelodysplastic syndrome (MDS), unclassifiable",cancertype
Myelodysplastic syndromes,cancertype
Myelodysplastic/Myeloproliferative Disease,cancertype
Myelodysplatic Syndrome,cancertype
Myeloma eligibility criteria are the following:,cancertype
Myeloproliferative and myelodysplasia syndromes:,cancertype
Myeloproliferative disease.,cancertype
Myeloproliferative disorder,cancertype
Myeloproliferative disorders/myelofibrosis,cancertype
Myeloproliferative neoplasm,cancertype
Myelosplastic syndrome and/or pre-leukemia at any stage,cancertype
New breast cancer diagnosis,cancertype
no diagnosis of breast cancer,cancertype
no histological confirmation of breast cancer,cancertype
Non Hodgkin Lymphoma,cancertype
Non-Hodgkin lymphoma,cancertype
Non-Hodgkin lymphoma (NHL),cancertype
Non-Hodgkin's lymphoma,cancertype
Non-Hodgkin's Lymphoma (NHL),cancertype
NSCLC and gastric adenocarcinoma subjects must have tissue available for HA-selection and PD-L1 testing.,cancertype
Other Solid Tumor,cancertype
Ovarian cancer,cancertype
pancreatic cancer,cancertype
pancreatic cancer recurrence,cancertype
Pancreatic carcinoma,cancertype
Pancreatic tumor size <= 5cm,cancertype
Pancreatic tumors of endocrine or mixed origin.,cancertype
Participants with AML must not have:,cancertype
Participants with CLL:,cancertype
Pathologically confirmed NHL.,cancertype
Pathologically confirmed non-small lung cancer,cancertype
Patient has chronic myelogenous leukemia.,cancertype
"Patient has symptomatic MM, as defined by any of the following:",cancertype
Patient must have cervical cancer,cancertype
Patient must have endometrial cancer,cancertype
Patient must have fallopian tube cancer,cancertype
Patient must have ovarian cancer,cancertype
Patient with AML according to 2016 WHO criteria.,cancertype
Patients must have a histologically documented diagnosis of soft tissue sarcoma,cancertype
Patients must have an acceptable MDS subtype:,cancertype
Patients must have hepatocellular carcinoma.,cancertype
"Patients must have mCRC and, if MSI status is known, non-high MSI status.",cancertype
"Patients must not have testicular involvement; if clinical or ultrasound findings are equivocal, biopsy must be performed; all tests for establishing testicular involvement must be completed within 14 days prior to registration",cancertype
patients with advanced malignant hepatic tumors,cancertype
Patients with cervical esophageal carcinoma,cancertype
Patients with histologically confirmed prostate cancer.,cancertype
Patients with islet cell/neuroendocrine or papillary cystic neoplasm,cancertype
Patients with known diagnosis of breast cancer,cancertype
Patients with lung cancer,cancertype
Patients with MDS,cancertype
Patients with myelodysplastic syndrome,cancertype
Patients with myelodysplastic syndromes (MDS):,cancertype
Patients with neuroendocrine or small cell features are not eligible.,cancertype
Patients with NSCLC LM who are unable to undergo collection of CSF.,cancertype
Patients with previous breast cancer,cancertype
Patients with primary brain tumors.,cancertype
Patients with solitary plasmacytoma,cancertype
Patients with symptomatic MM as defined by IMWG requiring anti-myeloma therapy.,cancertype
Penile carcinoma,cancertype
Phase 2 expansion: Gastric Cancer,cancertype
Phase 2 expansion: MSI high CRC,cancertype
Phase 2 expansion: Ovarian cancer,cancertype
Phase 2 expansion: RCC,cancertype
Phase 2 expansion: SCCHN,cancertype
Phase II Component Advanced RCC associated with,cancertype
Philadelphia-like ALL,cancertype
Plasma cell myeloma,cancertype
Preceding myelodysplastic syndrome (MDS),cancertype
Precursor T-cell lymphoma or leukemia,cancertype
Pre-existing myelodysplastic syndrome:,cancertype
Previous breast cancer,cancertype
Previous diagnosis of CRC,cancertype
Previous diagnosis of lung cancer,cancertype
Previous excisional biopsy of the breast cancer,cancertype
Previous excisional biopsy of the breast cancer.,cancertype
Previous myPlan Lung Cancer test performed,cancertype
Previously diagnosed with lung cancer,cancertype
Prostate Cancer,cancertype
Prostate cancer (PC)-SPES,cancertype
Prostate cancer:,cancertype
r/r CD19+ B-cell NHL that is histologically confirmed by archived tumor biopsy tissue from last relapse and corresponding pathology report. The following types of lymphoma are included:,cancertype
RCC Subpopulation A (1L):,cancertype
renal cell cancer associated with HLRCC.,cancertype
Renal cell carcinoma,cancertype
RENAL CELL CARCINOMA (1L):,cancertype
RENAL CELL CARCINOMA (RCC):,cancertype
Renal insufficiency (attributable to MM),cancertype
Renal insufficiency (attributable to myeloma),cancertype
Self-reported diagnosis of breast cancer,cancertype
Siewert-Stein Type III carcinomas of the stomach.,cancertype
small bowel cancer,cancertype
